tokens	ner_tags
['Aklımın', 'sınırlarını', 'zorlasa', 'da', 'hataların', ',', 'ben', 'seni', 'yinede', 'yüreğimde', 'ak', '’', 'larım', '.', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['“', 'Yarın', 'bizi', 'Beraber', 'Görenler', 'kimdi', 'o', 'Yanındaki', 'diye', 'Sorarlarsa', 'beni', 'Detaylı', 'Anlatma', '.', 'Kısaca', ';', 'Ömrümün', 'geri', 'Kalanı', 'Dersin', '.', '.', '.', '”']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['Bari', 'The', 'O', '.', 'C', ""'"", 'nin', 'yerli', 'versiyonu', 'çekmeyin', 'allahsızlar', ':', '(', 'Ergenlik', 'aşkım', 'Seth', 'Cohen', ""'"", 'i', 'harcayacaksınız', ':', '(', 'O.C', 'Seth', 'Cohen']"	['O', 'B-MISC', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-MISC', 'B-PERSON', 'I-PERSON']
['Bahcelıevler', 'deneme', 'anadolu', 'lısesındeyımm', 'lısesı']	['B-LOCATION', 'I-LOCATION', 'I-LOCATION', 'O', 'I-LOCATION']
['Ilaç', 'aldığım', 'için', 'oruç', 'tutamıyorum', '.', 'Allah', 'bu', 'sıcakta', 'dışarda', 'oruç', 'tutanın', 'yardımcısı', 'olsun', '.', 'Gerçekten', 'çok', 'zor', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Millet', 'kafayi', 'yemis', 'ya']	['O', 'O', 'O', 'O']
['Öyküyle', 'birlikte', 'kahvalti', 'yapmayı', 'o', 'kadar', 'özledikki', 'skypeden', 'birlikte', 'kahvalti', 'yapıyoruz', ':', 'D', 'Öykü', 'skype']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'B-MISC']
['Önce', 'Kariyer', ';', ')']	['O', 'O', 'O', 'O']
['#', 'HaydiGençlerİTİKAFa', 'Gençken', 'yapılanı', 'daha', 'makbul', '.', '.', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['kavramm', 'daha', 'kapsayıcı', '.', '.', 'e', 'şimdı', 'kim', 'daha', 'katı', 'irkçi', 'oluyor', ':', '-', ')', 'çözen', 'beri', 'gelsin', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Bu', 'aksam', '3arti1', 'de', 'nuri', 'alco', 'varmis', '.', 'Kacirmamaliyim', '.']	['O', 'O', 'B-MISC', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O']
['#', 'DiyanetinHutbesiniKınıyoruz', 'Hutbenin', 'Hocaefendi', 'hazretleri', 'tarafından', 'yazıldığını', 'teyit', 'edebiliyor', 'muyuz', '?', 'Diyanet']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORGANIZATION']
"['Kızla', 'tanışmak', 'için', '""', 'bu', 'ne', 'sıcak', 'ya', '""', 'diye', 'konuya', 'girdim', '.', '""', 'Normaldir', 'yaz', 'mevsimindeyiz', '""', 'dedi', ',', ',', ',', 'Bu', 'kadar', 'kültürlü', 'kız', 'beni', 'aşar', 'abi', ',', ',', ':', ')', ')']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Ramazanda', 'yemek', 'reklamlarından', 'nefret', 'ettiğim', 'kadar', 'kimseden', 'nefret', 'etmiyorum', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['pınarlaa', 'bu', 'akşaam', 'sahilee', 'akarızz', 'biiz', ':', 'Dd', ':', 'Dd', 'pınar']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON']
['#', 'yarıngeçolmadan', 'tepkisiz', 'kalmayalım', '.', '.', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O']
['SAHURDA', 'SADECE', 'PİDE', 'YEDİM', 'AÇLIKTAN', 'GEBERİYORUM', ':', 'DDDDSDAS']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['10', 'saat', 'uyudum', 'ama', 'hala', 'uykum', 'var', '.', '.', 'uyumaya', 'gidiyorum', '#', 'Offline']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['şimdi', 'benim', 'tahtım', 'dizindir', '.']	['O', 'O', 'O', 'O', 'O']
['Tasavvuf', 'düşüncesinin', ',', 'tasavvur', 'etme', 'yetisinde', 'kayıptan', 'çok', ',', 'artışa', 'yol', 'açması', 'gerekmiyor', 'muydu', '?', 'bunu', 'da', 'mı', 'yanlış', 'öğrettiniz', 'bana', '?']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Hayallerinizde', 'ki', 'insanı', 'bulduysanız', 'herşey', 'daha', 'farklı', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['bırazdan', 'tekneye', 'gecıcem', 'gelmek', 'ısteyen', 'arkadaslar', 'yazabılırler', 'cok', 'bunaldımmm']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Artık', 'iyleşmek', 'istıyorumm', ',', 'ahdım', 'ollsun', 'beach', 'pozları', 'vericem', 'yeminle', '.', '.', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['O', 'değil', 'de', 'ilerde', 'evleneceğim', 'kişi', 'kim', 'bilir', 'şuan', 'kiminle', 'konuşuyor', 'Allah', 'belanı', 'versin', 'doğmamış', 'çocuklarından', 'utan']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Adamın', 'bir', 'dediği', 'bir', 'dediğini', 'tutmuyoo', ':', 'D']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Bayramda', 'takım', 'elbiseli', '8', 'yaşındaki', 'veletler', 'yine', 'devlet', 'memuru', 'gibi', 'dolaşacak', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['İlk', 'defa', 'bu', 'kadar', 'geç', 'uyandım']	['O', 'O', 'O', 'O', 'O', 'O']
['Müge', 'Kradağ', 'mangal', 'yapcaz', 'o', 'kadar', ':', 'D']	['B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['ahhhhh', 'bu', 'ben', 'vahhh', 'bu', 'benn']	['O', 'O', 'O', 'O', 'O', 'O']
['WEBO', '#', 'YenisezonformanTurkTelekomdan', '!', 'TARAFTAR', 'FORMASINI', 'İSTİYORUM', 'NOOLUUUR13', 'TurkTelekom']	['B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORGANIZATION']
['sana', 'dokunamamak', '(', 'tı', ')', 'bana', 'dokunan', '.', '.', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Çocukluğuma', 'geri', 'döndüm', 'tekrar', 'underground', 'oynamaya', 'başlıyorum', ':', ')']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['mükemmel', 'degilim', 'evet', ',', 'en', 'azından', 'sahte', 'degilim']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Tam', 'benlik', 'okul', ',', 'geçme', 'notu', '75', 'olmuş', 'bide', 'bana', 'da', 'böyle', 'okul', 'yakışırdı', 'zaten', ',', 'neyse', 'gencim', 'yani', 'daha', 'önümde', 'uzun', 'yıllar', 'var', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Her', 'geçen', 'dakika', 'insan', 'dahada', 'çok', 'sıkılıyor', '.', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Burak', 'gelmis', 'yerimmmm']	['B-PERSON', 'O', 'O']
['Melih', 'Mahmutoğlu', 'Fenerbahçe', 'ye', 'transfer', 'olmuş']	['B-PERSON', 'I-PERSON', 'B-ORGANIZATION', 'O', 'O', 'O']
['Kendini', 'olgun', 'sananlar', 'var', '.', '.']	['O', 'O', 'O', 'O', 'O', 'O']
['Gelmediğin', 'hergün', 'bi', 'adım', 'daha', 'uzaklaşıyorum', 'senden', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['‘', 'aynen', '’', 'kelimesini', 'bulan', 'kişiyle', 'üşengeçlik', 'seviyelerimiz', 'aynı', 'derece', 'de', 'olmalı', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Kaybedince', 'daha', 'çok', 'seveceksiin']	['O', 'O', 'O', 'O']
['HELAL', 'OLSUN', 'ÇARŞI', '.']	['O', 'O', 'B-ORGANIZATION', 'O']
['İnşallah', 'başlık', 'parası', 'isteyen', 'babası', 'olan', 'bi', 'kıza', 'aşık', 'olmam']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Hersey', 'ustume', 'geliyor', '.']	['O', 'O', 'O', 'O']
['Uğraştığım', 'insanlara', 'bak', '.']	['O', 'O', 'O', 'O']
['Oha', 'lan', '9', '.', 'Sezonda', 'Bobby', 'tamamen', 'dönüyormuş', '.', 'Bugün', 'çok', 'mutluyum', 'ya', ':', 'D']	['O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['o', 'zaman', '.', 'AKDENİZ', 'üniversitesi', 'akaaarrr', ':', 'D']	['O', 'O', 'O', 'B-ORGANIZATION', 'I-ORGANIZATION', 'O', 'O', 'O']
['Birisi', 'için', 'kıymetli', 'değilsen', ',', 'boşa', 'yaşıyorsun', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Sinemada', 'en', 'son', 'izlediğiniz', 've', 'beğendiğiniz', 'film', 'nedir', '?']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['""', 'İşyerindeki', 'erkeği', 'emziren', 'kadınlar', 'tacizden', 'kurtulur', '""']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
"['+', '""', 'Butun', 'ınsanlar', 'ıcın', ',', 'belkı', ',', 'ama', 'dusunmus', 've', 'erdemlı', 'ınsanlar', 'ıcın', 'muhakkak', 'kı', 'butun', 'hayat', 'Tanrı', ""'"", 'ya', 'daır', 'artan', 've', 'sureklı', 'bır', 'duyumdur', '.', '""']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Ekşi', 'Sözlük', 'hakkında', 'suç', 'duyurusu']	['B-MISC', 'I-MISC', 'O', 'O', 'O']
['Erkeklerin', 'beynine', 'tüküreyım', '.', 'Hiç', 'evlenmicek', 'kızları', 'olmayacakmış', 'gibi', 'yasiyorlar', '.', 'Yazık', 'yazık', '.', '.', '.', 'Kiyamam']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Herkes', 'gelip', 'geçici']	['O', 'O', 'O']
['Ah', 'bu', 'keşkeler', ':', '(']	['O', 'O', 'O', 'O', 'O']
['halil', 'fanayı', '30', 'kere', 'izlemeye', 'kararlı', ':', ')', 'fana']	['B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MISC']
['Ya', 'ne', 'oluyor', 'orda', 'biriniz', 'şu', 'tele', 'cvp', 'verin', '.', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Erkek', 'çok', '.', 'Adam', 'az', 'bu', 'devirde', '.', '.', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
['Ben', 'burda', 'hastalıktan', 'yerimden', 'kalkamıyorum', 'Dila', 'bana', 'Zeki', 'Müren', 'dinletiyor', 'süper', 'bu', 'kız', 'enerji', 'aşılıyor', '.', 'Şimdi', 'de', 'Ferdi', 'Tayfur', ':', '(']	['O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O']
['Kendini', 'bisey', 'sananlar', 'olmasa', 'her', 'sey', 'daha', 'guzel', 'olacak', '.', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
